18522 28384
2501 18522 4582
11636 2501 9299
900 2501 26924
16866 11636 13224
9142 18522 23179
7475 11636 10697
10834 16866 20715
8719 900 19615
8099 8719 21928
2705 7475 10578
11552 9142 29599
834 7475 22636
381 9142 18390
198 7475 28274
18418 8719 20030
16623 11636 12864
11271 16623 24122
6659 18522 1223
17159 10834 7671
12748 834 7690
4894 10834 17587
9981 381 29028
9517 12748 9092
14416 17159 16249
571 12748 26949
9590 381 9839
3494 16623 16814
16813 9142 28979
3472 8719 6340
2957 571 3325
893 571 17184
13572 3494 30802
2465 3494 24771
18056 198 16685
10868 3472 21360
11128 11271 20511
11200 11552 25279
4524 2957 23682
4732 9517 30570
2793 11200 2578
7200 2465 1159
2509 16623 27269
15887 16623 4255
9905 9142 32264
13759 2793 10734
2706 2501 25499
9769 893 14382
8083 14416 18117
12247 2705 25524
1740 13572 18979
8200 18418 31953
4862 6659 18093
10345 9142 16304
2259 4524 17875
10735 11636 20522
2691 10735 12479
13444 12748 9794
3137 2793 22868
14133 4524 12110
4315 15887 20945
1094 11200 28919
4214 571 3611
6846 11271 21137
8095 18418 5650
2946 571 9854
1475 4894 12938
3315 18056 28820
2924 15887 1724
13804 4524 1994
2697 9981 1606
9247 2706 24717
12285 11128 15384
6227 4732 23176
6589 1740 28890
8107 10345 10197
12933 4894 32695
18499 3315 7363
2939 8200 7820
17218 8107 16054
7265 4894 6893
1753 2691 3541
5623 7200 8063
8068 4862 6262
9179 3137 3473
13369 3137 14480
111 9769 25866
10727 6227 15006
5564 900 10484
9086 2501 27309
13868 18522 14678
332 2706 28560
17466 11552 19231
10090 8083 17780
3243 8099 3390
15015 11200 24648
12069 3243 13904
10883 900 21420
12492 1753 14434
2588 2946 8560
2391 4315 16565
13522 2793 20677
1861 12492 1933
9214 2465 32682
10068 9769 22634
16290 2924 3395
5322 16290 13640
2751 10068 5913
13141 3315 6064
7103 893 7277
12430 14133 10430
5130 9981 560
6672 5130 25967
9582 381 14135
3829 4214 5842
9013 5623 11199
13818 1861 24046
971 12285 108
1880 2588 24958
11159 9590 4154
12725 11159 32721
9471 17466 5662
6129 16623 20846
13992 13868 31307
18466 17466 22867
13608 3315 7250
7856 2751 1501
12951 9214 1691
4271 198 12740
9465 9769 11495
10437 3829 13998
18456 3137 31452
8399 13369 27460
12129 6846 22727
11183 11128 9422
6727 13572 15386
17155 12951 6336
437 2751 9809
8524 6227 21704
7118 11271 28738
2489 10883 1069
2412 381 14597
634 11159 28584
2523 6846 5874
14331 8095 8451
3102 18418 3697
13630 2751 26133
2315 10437 9603
14009 13522 9981
16406 571 31834
2872 198 12713
16687 17155 29268
15009 2315 20750
609 6129 23598
16774 11200 20628
5628 2391 31577
1512 6589 31910
6016 9179 4009
14712 10883 22384
11675 8107 21474
1364 16290 9510
5447 609 19142
2820 8719 13670
12219 14009 17839
8559 13522 30624
10406 2820 20200
10162 11271 1665
2826 893 28980
16690 5322 31442
10629 2924 841
395 13572 4177
965 16623 31017
12792 10090 1893
557 4271 5794
1558 11636 17603
16779 634 1366
8353 14712 3169
12222 16623 5659
14306 12247 26432
4627 5623 10396
4100 14331 23540
13842 13141 9588
13881 6589 12291
8427 2509 30277
12536 14331 31844
4381 13572 17524
10148 7118 2495
515 437 21136
13770 1740 14672
13514 834 19858
15325 8353 17777
752 11552 19063
6803 13881 28974
8580 3829 6626
12410 4524 24705
7091 2939 32451
11980 2489 23296
14339 3102 30273
5927 13818 14623
9759 6129 28242
11259 12492 16473
10121 2946 21955
13278 8200 19676
4027 7265 11175
18445 2872 26511
1415 5447 27996
15301 17218 23943
1362 2465 18866
7100 9013 10818
16324 11259 9421
6736 4894 6218
5296 10834 3040
4052 971 29708
3891 4894 2258
1560 571 6916
15617 15325 9573
14391 13608 9609
6697 965 10889
18398 8200 29672
12531 15301 5065
18486 8524 6026
9818 1094 6180
14517 10090 30549
7497 11259 24752
4177 10090 14996
17622 14416 23249
3887 7103 2040
4588 14133 22254
16512 5623 3742
14128 834 9705
626 13868 11552
4216 12430 30410
8566 2957 28427
3515 10406 9048
10911 1740 4960
10005 3137 13713
1982 15009 28389
6346 18398 2380
296 1475 21355
6357 12129 21598
9262 7475 16732
8619 12069 25888
7137 8427 6955
762 11183 23080
11858 2706 27262
14080 15009 18314
18299 8619 5411
2987 2939 32012
12467 13278 13366
11388 5628 15875
3867 6357 10758
18022 2946 1756
3923 10068 9098
6597 10005 17783
12157 5130 30871
5320 3891 231
3288 2697 27152
13679 16687 8749
8411 14391 8130
15491 12222 13065
8738 4588 4017
12049 11675 18680
17351 2697 14075
685 17159 16886
3175 1880 20642
5519 7475 17823
4980 18022 4310
143 6659 30914
2627 9759 27550
4757 5519 19081
16067 10437 9192
1887 3923 2484
272 18522 23656
15764 634 21932
14134 4862 13788
8600 10727 21068
2692 395 16000
