63 28766
39 63 198
14 63 14409
49 63 10262
13 14 2942
20 39 10067
41 20 19194
24 49 28691
12 63 6608
10 41 8816
59 14 16342
60 10 14329
34 14 16623
45 14 20276
17 24 4934
44 63 27651
43 39 7317
22 12 7064
4 20 23763
26 20 10929
54 60 1311
19 24 4948
56 26 17397
1 49 840
29 60 27312
9 34 28409
51 34 14371
18 54 7309
57 39 11186
5 41 335
8 13 14359
32 59 16321
38 5 8171
47 26 7920
25 9 13408
6 10 991
62 1 10066
27 39 23589
11 8 22829
16 17 5396
36 8 24672
31 44 15616
42 24 19288
53 1 21631
35 45 7988
30 19 13242
55 39 9393
48 38 19497
3 17 514
61 14 2382
37 32 15244
50 18 13126
40 5 20160
15 48 3157
21 32 396
33 57 3664
58 6 1555
23 40 8740
46 54 1457
28 12 14742
7 4 22391
2 10 5667
52 32 26016
4880 8850
3122 4880 2924
4805 3122 683
4612 4880 1924
4876 4880 153
3922 4876 5429
4604 4612 362
3972 3122 8597
2848 4612 1294
4745 4604 3339
2880 4880 1538
1679 4604 7813
729 4604 2346
3470 4880 7026
3212 3470 3916
2169 3972 1474
146 729 3696
3493 4805 1604
110 729 6575
1955 146 182
1549 146 7594
2593 4612 4732
17 729 5161
31 3122 2838
823 2880 1411
691 823 5492
308 4745 1694
2098 110 7833
3713 4876 6018
3091 691 5796
833 1679 138
2792 4612 667
153 3713 7317
2284 3972 6125
4475 4880 4112
3371 3122 669
841 110 8774
4564 146 2294
4759 110 6154
1248 4604 402
2325 833 523
441 2325 78
284 3713 4513
3041 3713 515
2567 3041 6829
236 3470 5809
2461 4805 2697
4585 1955 2080
1519 17 2667
4082 3493 1697
2963 4585 5259
4387 4759 4198
1224 3122 4760
416 1224 7736
1175 2284 2844
3159 17 1881
4154 1519 6778
630 2963 2365
4548 4387 3503
4448 31 5211
3401 4745 885
3870 4745 1832
1420 308 2368
596 833 3999
1826 4387 1494
2737 4475 6075
3441 729 7453
1079 3922 2727
4843 3713 6518
4197 2284 4854
4788 4448 6242
2788 1079 8151
3013 308 4511
2402 3441 4063
2139 110 1128
2243 1248 6812
4210 1079 1290
4795 4548 5012
4690 1549 3632
1941 4197 8574
131 4210 2186
3168 1941 7817
1581 4745 3260
4581 3212 5166
114 2098 2223
652 4082 2296
2258 3013 1641
1998 3013 257
907 652 5289
1952 1519 7257
1788 4082 4117
4370 4387 5708
2889 3470 5226
1760 146 7684
503 114 1557
3480 4210 1927
3072 4548 2062
4000 1224 7396
4615 4210 556
4450 2258 4333
3446 2169 8309
310 3072 1248
3857 308 8740
2394 3922 3484
3781 2284 5420
3874 4788 3565
2180 4745 4893
1437 3371 1252
3077 4197 1935
1199 3401 2470
4749 1420 6532
4378 2098 2212
3847 1175 4396
2920 131 3300
3688 416 6590
3281 2325 8025
2250 3168 6643
4500 1941 178
3126 2394 891
2240 3122 4566
354 3480 7095
521 4612 905
4246 3857 7974
3600 1079 6324
4764 729 7014
3261 4615 5459
4757 4585 7757
2841 3847 2409
3992 630 2244
2520 4690 6586
1308 4788 331
1376 2180 1430
4291 1079 111
3056 4585 7490
2499 4500 3259
4465 596 8583
1784 3493 3165
2236 3781 6236
1787 652 3278
2349 2284 660
4437 4448 2225
3326 2250 6183
3284 3600 4190
913 3371 4264
4146 4437 7711
138 2240 1391
1953 4465 4074
616 913 4983
21 310 4571
2315 3261 5617
3796 652 6076
4350 236 5686
3238 4350 1872
3977 4805 3762
141 114 8544
1300 3480 1139
1099 1420 1610
4860 4197 1550
485 1787 5350
3953 4585 1035
4084 354 380
175 729 2778
2522 1248 4597
1449 3238 7366
4158 3781 4457
3030 3922 18
1766 153 6839
4514 4805 8619
1076 616 2779
2282 3326 2031
2061 1308 1016
3438 2402 8179
410 4370 4687
3643 131 601
3161 2250 78
1937 3688 4252
3325 1175 7769
1454 841 1226
2358 2880 846
4702 146 396
2531 1952 6688
2582 4350 7194
1129 3688 4172
615 3847 783
4560 3470 7380
1593 1787 8780
4029 3325 1488
2521 3781 6902
3365 2240 8512
1513 17 82
4718 2349 7093
2909 2461 1594
2508 2841 2566
2224 1420 4685
4386 3401 6422
1333 2499 5065
1115 4386 8700
1295 3643 7058
491 2325 8210
1727 3438 7487
1889 4465 2934
4505 841 1967
1302 3091 5985
2769 1727 1067
279 4585 1539
4547 4029 5941
1568 2522 4762
1780 2521 6840
3040 4437 789
4791 4158 1716
1114 1826 3504
382 4475 956
2123 4387 933
2433 1199 3658
4697 4450 6952
1212 4791 6701
4263 1953 2250
4511 1998 5328
2617 2258 6901
3936 3056 7303
4499 2169 554
4326 4511 7226
1689 2920 3661
2568 3072 1726
4785 17 8534
4240 4500 3323
3672 3874 7284
4836 2521 1073
404 3168 6626
15 1952 515
1259 146 6785
2688 354 1259
3792 1199 6468
3343 3091 1995
2958 2349 5290
4043 1449 8433
888 3874 8182
1605 4690 6431
3598 1766 5766
2631 907 967
274 3126 1498
1411 3446 7993
314 1420 8405
1511 2567 6849
2833 4000 2013
429 4450 2021
1878 236 1468
41 503 1369
2332 2250 367
4512 4805 7422
2331 1953 5451
2067 3992 3439
2614 4749 3889
3962 4560 3921
2500 1175 6933
4177 4880 4635
1198 3922 5435
726 4146 5503
3239 2067 8220
2458 652 694
522 310 8266
3237 1302 8393
